央视频道,#genre# 
精品剧场,http://[2409:8087:7001:20:1000::95]:6610/000000001000/8230197131234717902/index.m3u8?stbId=3&livemode=1&IASHttpSessionId=OTT4874520240204170351745335&channel-id=wasusyt&Contentid=8230197131234717902

亚洲影院,http://[2409:8087:7001:20:1000::95]:6610/000000001000/5841816227539527643/index.m3u8?stbId=3&livemode=1&IASHttpSessionId=OTT63020240204170426738284&channel-id=wasusyt&Contentid=5841816227539527643

欢笑剧场4K,http://[2409:8087:7000:20::14]:80/dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226582/1.m3u8?icpid=88888888&from=20&ocs=2_2409:8087:7001:20:2::2_80&hms_devid=623&prioritypopid=20&online=1707066312&vqe=3

香港8K测试,http://[2409:8087:2001:20:2800:0:df6e:eb05]/wh7f454c46tw1271963736_932867955/ott.mobaibox.com/PLTV/3/224/3221228132/index.m3u8

8KUHD,http://[2409:8087:2001:20:2800:0:df6e:eb04]/wh7f454c46tW1782571424_1576923679/ott.mobaibox.com/PLTV/3/224/3221228132/index.m3u8

北京纪实科教8K,http://49.7.69.235/downflv.brtvcloud.com/8klive/8kliveok.m3u8




